Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
Adam Smith International,asi,0,0,0,100,0,100,100,50,50,44,0,0,0,100,0,100,100,50,50,44
Adaptation Fund,af,0,100,0,36,0,0,0,41,0,20,0,100,0,100,0,100,0,41,0,38
ADD International (Action on Disability and Development),addinternational,7,36,0,43,0,57,100,55,0,33,7,36,0,50,0,57,100,55,0,34
Administração de Infra-Estruturas de Águas e Saneamento,aias,0,0,0,100,0,0,0,0,100,22,0,0,0,100,0,0,0,0,100,22
ADRA Denmark,adra-dk,0,0,0,33,0,0,100,0,0,15,0,0,0,33,0,0,100,0,0,15
ADRA-UK,adrauk,50,0,0,0,0,50,100,0,0,22,50,0,0,0,0,50,100,0,0,22
ADS-Nyanza,ads-nyanza,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Advance Consulting,ac1999,100,100,0,100,0,100,100,0,0,56,100,100,0,100,0,100,100,0,0,56
Adventist Development and Relief Agency (ADRA Somalia),adrasom,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
"Adventist Development and Relief Agency, Nepal",adra_nepal,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
AECOM,aecom,0,0,0,100,0,0,2,76,0,20,0,0,0,100,0,0,2,76,0,20
Aeras,aeras,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
AFELT,afelt,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
AFEW International,afewinternational,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Afghanaid,afghanaid,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
Afghanistan and Central Asian Association,acaa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Afghanistan Public Policy Research Organization (APPRO),appro-af,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Africa Educational Trust,aet,0,0,0,50,0,50,100,0,0,22,0,0,0,100,0,50,100,0,0,28
Africa Philanthropy Network,apn,100,0,0,0,0,100,0,-,0,22,100,0,0,0,0,100,100,-,0,33
Africalia,africalia,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
African Academy of Sciences,aas,100,100,0,0,0,0,0,100,0,33,100,100,0,0,0,0,0,100,0,33
African Center for Economic Transformation (ACET),acet,0,0,0,81,0,28,0,98,0,23,0,0,0,81,0,28,0,98,0,23
African Centre for Global Health and Social Transformation,achest,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
African Development Bank,afdb,88,100,100,100,100,100,68,81,99,93,88,100,100,100,100,100,68,81,99,93
African Initiatives,ai_1064413,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
African Institute For Development Policy,afidep,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
African Parks Network,african_parks,0,7,7,100,0,100,0,50,0,29,0,7,7,100,0,100,0,50,0,29
African Population and Health Research Center,aphrc,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
African Revival,africanrevival,0,0,0,0,0,0,0,100,0,11,0,0,0,0,0,0,0,100,0,11
African Security Sector Network,assn,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
African Tax Administration Forum,ataf,0,0,0,100,0,100,0,-,0,22,0,0,0,100,0,100,0,-,0,22
African Women's Development and Communication Network,femnet,0,0,0,100,0,0,0,71,0,19,0,0,0,100,0,0,0,71,0,19
African Women's Development Fund,awdf,50,0,0,100,0,50,50,-,20,30,50,0,0,100,0,50,50,-,20,30
Afrikagrupperna Sweden,afrikagrupperna,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
AfriKids,afrikids,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
Aga Khan Foundation (United Kingdom),akfuk73,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Aga Khan Foundation Afghanistan,akf_afghanistan,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
AgDevCo,agdevco,0,0,0,0,0,0,0,79,0,9,0,0,0,0,0,0,0,79,0,9
Agence Française de Développement,afd,100,59,58,100,58,59,59,60,0,61,100,59,59,100,58,59,59,60,0,62
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,100,100,100,100,0,100,100,-,100,78,100,100,100,100,0,100,100,-,100,78
Agency for Cooperation and Research in Development (ACORD),acord,100,0,0,100,0,50,100,100,50,56,100,0,0,100,0,50,100,100,50,56
AgResults Initiative,agresults,0,0,0,100,0,0,0,80,0,20,0,0,0,100,0,0,0,80,0,20
Agulhas Applied Knowledge,aak,100,100,100,100,0,100,100,100,0,78,100,100,100,100,0,100,100,100,0,78
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,0,0,0,100,0,100,0,100,100,44,0,0,0,100,0,100,0,100,100,44
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,0,0,0,100,100,11,100,9,0,36,0,0,0,100,100,11,100,9,0,36
AidData,aiddata,0,73,73,74,0,0,0,16,0,26,0,73,73,100,0,0,0,16,0,29
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,100,35,0,100,0,4,100,67,46,50,100,35,0,100,0,4,100,67,46,50
AIDSPAN,aidspan,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
Akina Mama wa Afrika,amwa,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Aktis Strategy Ltd,aktis,0,0,0,100,0,0,0,67,0,19,0,0,0,100,0,0,0,67,0,19
Akvo Foundation,akvo,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Al Majmoua,al_majmoua,0,0,0,100,0,100,0,0,100,33,0,0,0,100,0,100,0,0,100,33
Alcis Holdings Limited,alcis,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Alfalit,alfalit,0,0,0,0,0,0,100,-,0,11,0,0,0,0,0,100,100,-,0,22
Alinea International Ltd.,alineainternational_2020,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
All We Can (formerly Methodist Relief and Development Fund),allwecan,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Allergy and Asthma Institute Pakistan,aaip,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Alliance for a Green Revolution for Africa,agra,0,0,0,100,0,0,100,-,0,22,0,0,0,100,0,0,100,-,0,22
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Altai Consulting,altai,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
American Friends Service Committee,afsc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Amnesty International The Netherlands,amnesty,100,0,0,100,0,4,100,50,57,46,100,0,0,100,0,4,100,50,57,46
Amnesty International UK Section Charitable Trust,aiuk,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
Amref Flying Doctors,amrefnl,80,30,30,100,0,9,100,74,11,48,80,30,30,100,0,9,100,74,11,48
Amref Health Africa - UK,amrefha,17,100,67,100,0,0,100,100,0,54,17,100,67,100,0,0,100,100,0,54
Amref Health Africa Headquarters,amrefhq,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Amref Health Africa in Ethiopia,amrefeth,100,100,100,100,0,0,100,0,100,67,100,100,100,100,0,0,100,0,100,67
Amref Health Africa in Kenya,amrefkenya,0,0,0,100,0,0,100,100,100,44,0,0,0,100,0,0,100,100,100,44
Amref Health Africa in Tanzania,amreftz,0,0,0,100,0,0,100,100,50,39,0,0,0,100,0,0,100,100,50,39
Amref Health Africa in Uganda,amrefug,100,0,0,100,0,100,100,100,100,67,100,0,0,100,0,100,100,100,100,67
Amref Health Africa Malawi,amrefmw,100,0,0,100,0,0,100,100,100,56,100,0,0,100,0,0,100,100,100,56
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
ANDA,anda,0,0,0,0,0,0,100,-,0,11,0,0,0,0,0,100,100,-,0,22
Anti-Slavery International,asil,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
APPRO-Europe,appro-eu,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
APT Action on Poverty,apt,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
Aqua for All,aqua4all,81,44,44,100,0,81,100,12,100,62,81,44,44,100,0,81,100,12,100,62
Arab foundation for freedoms and equality,afemena,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Arab Reporters for Investigative Journalism,arij,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
ARK (Absolute Return for Kids),ark,0,0,0,100,0,100,100,100,0,44,0,0,0,100,0,100,100,100,0,44
Article19,art19,50,0,0,100,0,0,100,-,0,28,50,0,0,100,0,0,100,-,0,28
Ashoka East Africa,ashoka,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Asia Justice and Rights,ajar,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Asian Coalition for Housing Rights,achr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asian Development Bank,asdb,100,97,97,100,100,99,100,30,100,91,100,97,97,100,100,99,100,30,100,91
Assistance Mission for Africa,ama-south-sudan,100,0,0,100,0,0,0,100,100,44,100,0,0,100,0,0,0,100,100,44
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Association CHS Alliance,chs_alliance,100,0,0,100,0,0,100,-,33,37,100,0,0,100,0,0,100,-,33,37
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",afdi-fr,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Association de Soutien au Développement des Activités de Population,asdap,100,100,100,0,0,100,100,100,100,78,100,100,100,0,0,100,100,100,100,78
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Association for Progressive Communication,apc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Association for Reproductive and Family Health,arfh,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Association for Women's Rights in Development (AWID),awid,67,0,0,100,0,0,100,-,0,30,67,0,0,100,0,0,100,-,0,30
Association of Commonwealth Universities,acu,0,0,0,0,0,0,0,100,0,11,0,0,0,0,0,0,0,100,0,11
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Atos IT Services Ltd,atosuk,0,0,0,100,0,100,0,33,0,26,0,0,0,100,0,100,0,33,0,26
Atradius Dutch State Business,adsb,0,0,0,98,0,0,100,41,0,27,0,0,0,98,0,0,100,41,0,27
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,83,0,0,100,0,17,100,50,0,39,83,0,0,100,0,17,100,50,0,39
Australia - Department of  Foreign Affairs and Trade,ausgov,100,0,0,100,100,7,100,47,0,50,100,0,0,100,100,7,100,47,0,50
Auto-Développement Afrique (ADA),ada,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Autre Terre asbl,a-t,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
AUXFIN Burundi,auxfinbi,0,0,0,100,0,100,100,0,88,43,0,0,0,100,0,100,100,0,88,43
Avanti Communications Plc,ava_admin,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Avocats Sans Frontières,asf,100,100,100,100,0,0,100,100,100,78,100,100,100,100,0,0,100,100,100,78
AVSI FOUNDATION IN UGANDA,avsi_uganda,0,100,0,100,0,0,0,100,100,44,0,100,0,100,0,0,0,100,100,44
AVT-L Association of Victims of Terrorism Lebanon,avt-l,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
AWEPA,awepa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Babawatoto Centre For Children and Youth,bawacecy-tz,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Backward Society Education (BASE),base_22,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,25,0,3
Balloon Ventures Foundation,bvf,0,100,0,100,0,100,100,100,0,56,0,100,0,100,0,100,100,100,0,56
Bangladesh Business and Disability Network,bbdn,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Bangladesh Nari Progati Sangha,bnps,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bangladesh Primary Care Respiratory Society,bpcrs,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Bangladesh Youth Leadership Center,bylc,0,0,0,0,0,100,0,0,0,11,0,0,0,0,0,100,0,0,0,11
BasicNeeds,basicneeds,0,0,0,40,0,0,100,75,0,24,0,0,0,100,0,0,100,75,0,31
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
BBC Media Action,bbcmediaaction,100,0,0,100,0,0,0,54,0,28,100,0,0,100,0,0,0,54,0,28
BDO LLP,bdo,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bees Abroad UK,bauk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bees for Development Trust,beesfordevelopment,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Behavioural Insights Team,bit,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Belgian development agency (Enabel),enabel,100,100,100,100,0,100,100,75,0,75,100,100,100,100,0,100,100,75,0,75
Belgian Development Cooperation,be-dgd,100,17,17,95,0,65,97,22,0,46,100,17,17,100,0,81,97,22,0,48
Benelux Afro Center,bac,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Berytech Foundation,berytech,0,0,0,100,50,0,0,0,50,22,0,0,0,100,50,0,0,0,50,22
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bibliothèques Sans Frontières,bsf1,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
Bill & Melinda Gates Foundation,bmgf,100,100,0,100,100,100,100,65,0,74,100,100,0,100,100,100,100,65,0,74
Bioclimate Research and Development,bioclimate,0,0,0,33,0,0,0,33,0,7,0,0,0,33,0,0,0,33,0,7
Blue Ventures Conservation,blueventures,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bond,bond,100,100,0,100,0,0,100,100,0,56,100,100,0,100,0,0,100,100,0,56
BoP Innovation Center,bopinc,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
BOS+ tropen,bos_plus_tropen,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Boston University,bu-carbx-admin,0,0,0,100,0,0,0,69,0,19,0,0,0,100,0,0,0,69,0,19
Both ENDS,bothends,0,0,0,100,0,50,100,0,100,39,0,0,0,100,0,50,100,0,100,39
BRAC,brac_admin2,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
BRAC International,bracintl,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
BRAC UK,bracuk,0,0,0,100,0,0,0,78,0,20,0,0,0,100,0,0,0,78,0,20
BRAC University,bu,0,0,0,40,0,0,0,-,0,4,0,0,0,40,0,0,0,-,0,4
Brigham and Women's Hospital,bwh,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
British & Irish Agencies Afghanistan Group,baag,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
British Asian Trust,b_a_t,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
British Council,britishcouncil,100,91,77,100,0,0,100,18,0,54,100,91,91,100,0,0,100,18,0,56
British Red Cross,gb-chc-220949,56,14,0,86,0,0,100,20,0,31,56,14,0,86,0,0,100,20,0,31
Broederlijk Delen,bd,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Brujula Comunicaciones Estrategicas SAS,brujula,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Brulocalis,brulocalis,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
BSR,bsr_admin,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Bucks Community NGO,bucksfarm,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Build Africa,buildafrica,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Burns Violence Survivors - Nepal,bvs-nepal,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Business in the Community,bitc,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
Business Watch Indonesia,bwi,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
C40 Cities Climate Leadership Group,c40cities,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
CABI,cabi,100,0,0,100,0,25,100,50,25,44,100,0,0,100,0,25,100,50,25,44
Camfed International,camfed,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,100,74,17,100,11,100,0,49,95,61,100,74,74,100,11,100,100,49,95,78
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,100,0,0,99,0,0,100,59,0,40,100,0,0,100,0,0,100,59,0,40
Canada Department of Finance / Ministère des Finances Canada,finance_canada,83,0,0,83,83,83,83,0,83,55,100,17,17,100,100,100,100,0,83,69
CANADEM,canadem,93,0,0,100,0,0,100,100,0,44,93,0,0,100,0,0,100,100,0,44
Canon Collins Trust,canoncollinstrust,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
CAPABUILD,capabui,0,0,0,100,0,0,0,33,0,15,0,0,0,100,0,0,0,33,0,15
Carbon Trust (Beijing) Consulting Limited,ctbeijing,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Carbon Trust Advisory Ltd,carbontrustadvisory,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
Cardno Emerging Markets,cardnoem,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
CARE BENIN/TOGO,carebenintogo,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
CARE International Afghanistan,ciafg,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
CARE international foundation Switzerland in Sudan,cis,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
CARE International in Zimbabwe,ciz,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
CARE International UK,ciuk,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
CARE Nederland,carenederland,0,0,0,100,0,20,100,20,80,36,0,0,0,100,0,20,100,20,80,36
CARE Nepal,cnepal,100,0,0,0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,11
CARE SOMALIA,csom1,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
Carers Worldwide,cww,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Caribbean Development Bank (CDB),caribank,17,0,0,92,0,0,0,92,0,22,17,0,0,92,0,0,0,92,0,22
Caritas Denmark,caritas_denmark,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Caritas Finland,caritasfin,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Caritas International (Belgium),cibe,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Caritas Serbia,caritas_serbia,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
CARPO - Center for Applied Research in Partnership with the Orient,carpo,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Catholic Agency For Overseas Development (CAFOD),cafod,100,0,0,100,0,0,100,45,0,38,100,0,0,100,0,0,100,45,0,38
Catholic Relief Services,crs,100,0,0,100,0,25,100,25,0,39,100,0,0,100,0,25,100,25,0,39
CDA Collaborative Learning Projects,cda,100,0,0,100,0,25,25,100,0,39,100,0,0,100,0,25,25,100,0,39
CDAC Network,cdacnetwork,0,0,0,100,0,50,25,0,0,19,0,0,0,100,0,50,25,0,0,19
CDC Group plc,cdc,100,0,0,100,0,0,100,77,0,42,100,0,0,100,0,0,100,77,0,42
CDP Worldwide,cdp,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,20,0,2
Cecily's Fund,cecily,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Center for Church-Based Development,cku,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Center for Civilians in Conflict,civic_admin,75,0,0,100,0,75,100,0,100,50,75,0,0,100,0,75,100,0,100,50
Center for Development and Integration,cdi_vn_2021,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
Center for International Legal Cooperation (CILC),cilc,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
Center for International Studies and Cooperation,ceci,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Center for Participation and Development,cpd_2021,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
